Feature,order,,genus,scolex,apical_organ,tentacles,hooks,scolex_attachment_structures,proglottid_margins,laciniations,pore_position,single_column_of_testes,post_poral_testes,anterior_extent_of_uterus,vitelline_follicle_arrangement,apolysis,wide_anterior_strobia,host_group,host_family,bothridial_features [bothridial taxa],apical_sucker_region [bothridial taxa],hook_placement [if hooks],peduncle_hooks [if bothrial hooks],hook_features [if bothridial hooks]
#4f6272,Rhinebothriidea,x,Ruptobothrium,TRUE,FALSE,FALSE,FALSE,bothridia,acraspedote,FALSE,lateral_sublateral,FALSE,FALSE,beyond,lateral,euapolytic,FALSE,batoids,Dasyatidae,facial_loculi,none,,,
#4f6272,Rhinebothriidea,x,Scalithrium,TRUE,FALSE,FALSE,FALSE,bothridia,craspedote/acraspedote,FALSE,lateral_sublateral,FALSE,FALSE,beyond,lateral,euapolytic,FALSE,batoids,Urotrygonidae/Dasyatidae/Arhynchobatidae,facial_loculi,none,,,
#4f6272,Rhinebothriidea,x,Semiorbiseptum,TRUE,FALSE,FALSE,FALSE,bothridia,craspedote,FALSE,lateral_sublateral,FALSE,FALSE,beyond,lateral,euapolytic,FALSE,batoids,Arhynchobatidae,facial_loculi,sucker,,,
#4f6272,Rhinebothriidea,2x,Spongiobothrium,TRUE,FALSE,FALSE,FALSE,bothridia,craspedote,FALSE,lateral_sublateral,FALSE,FALSE,beyond,lateral,euapolytic,FALSE,batoids,Dasyatidae,marginal_loculi/unmodified/folded,sucker,,,
#4f6272,Rhinebothriidea,x,Stillabothrium,TRUE,FALSE,FALSE,FALSE,bothridia,acraspedote,FALSE,lateral_sublateral,FALSE,FALSE,beyond,lateral,euapolytic,FALSE,batoids,Dasyatidae/Glaucostegidae/Rhinobatidae/Zanobatidae,facial_loculi,sucker,,,
#4f6272,Rhinebothriidea,x,Sungaicestus,TRUE,FALSE,FALSE,FALSE,bothridia,craspedote,FALSE,lateral_sublateral,FALSE,FALSE,beyond,lateral,euapolytic,FALSE,batoids,Dasyatidae,facial_loculi,sucker,,,
#7c91b0,Serendipeidea,x,Dioecotaenia,TRUE,FALSE,FALSE,FALSE,bothridia,acraspedote,FALSE,lateral_sublateral,FALSE,,to_pore/beyond,other,apolytic,FALSE,batoids,Rhinopteridae,facial_loculi,none,,,
#7c91b0,Serendipeidea,x,Duplicibothrium,TRUE,FALSE,FALSE,FALSE,bothridia,craspedote,FALSE,lateral_sublateral,FALSE,TRUE,to_pore,circumsegmental/lateral,euapolytic,FALSE,batoids,Rhinopteridae,facial_loculi,sucker,,,
#7c91b0,Serendipeidea,x,Glyphobothrium,TRUE,FALSE,FALSE,FALSE,bothridia,craspedote,FALSE,lateral_sublateral,FALSE,TRUE,to_pore,circumsegmental/lateral,euapolytic,FALSE,batoids,Rhinopteridae,facial_loculi,none,,,
#7c91b0,Serendipeidea,,Nanoduplicibothrium,TRUE,FALSE,FALSE,FALSE,bothridia,craspedote,FALSE,lateral_sublateral,FALSE,TRUE,to_pore,circumsegmental/lateral,euapolytic,FALSE,batoids,Rhinopteridae,facial_loculi,sucker,,,
#7c91b0,Serendipeidea,x,Serendip,TRUE,FALSE,FALSE,FALSE,bothridia,craspedote,FALSE,lateral_sublateral,FALSE,TRUE,to_pore,lateral,euapolytic,FALSE,batoids,Rhinopteridae,facial_loculi,none,,,
#404e5c,Zyxibothriidea,x,Pentaloculum,TRUE,FALSE,FALSE,FALSE,bothridia,craspedote,FALSE,lateral_sublateral,FALSE,FALSE,beyond,lateral,euapolytic,FALSE,batoids/sharks,Parascylliidae/Narkidae,facial_loculi,none,,,
#404e5c,Zyxibothriidea,x,Zyxibothrium,TRUE,FALSE,FALSE,FALSE,bothridia,acraspedote,FALSE,lateral_sublateral,FALSE,TRUE,to_pore,lateral,apolytic,FALSE,batoids,Arhynchobatidae/Rajidae,facial_loculi,none,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
